DATA,,,,,,
key,data,,,,,
token_name,Bonfida,,,,,
token_symbol,FIDA,,,,,
start_date,31/12/2020,,,,,
start_tokens,1000000000,,,,,
emission_schedule,1D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,,,,,,
DISTRIBUTION,,,,,,
entity,Seed,Liquidity,IEO,Serum Ecosystem Incentives,Team,Bonfida Foundation
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,ecosystem,public,ecosystem,team_advisors,foundation
emission,unlock,unlock,unlock,unlock,unlock,unlock
t171,0,2,0.6,2,0,0
t172,0,2,0.6,2,0,0
t173,0,2,0.6,2,0,0
t174,0,2,0.6,2,0,0
t175,0,2,0.6,2,0,0
t176,0,2,0.6,2,0,0
t177,0,2,0.6,2,0,0
t178,0,2,0.6,2,0,0
t179,0,2,0.6,2,0,0
t180,0,2,0.6,2,0,0
t181,0,2,0.6,2,0,0
t182,0,2,0.6,2,0,0
t183,0,2,0.6,2,0,0
t184,0,2,0.6,2,0,0
t185,0,2,0.6,2,0,0
t186,0,2,0.6,2,0,0
t187,0,2,0.6,2,0,0
t188,0,2,0.6,2,0,0
t189,0,2,0.6,2,0,0
t190,0,2,0.6,2,0,0
t191,0,2,0.6,2,0,0
t192,0,2,0.6,2,0,0
t193,0,2,0.6,2,0,0
t194,0,2,0.6,2,0,0
t195,0,2,0.6,2,0,0
t196,0,2,0.6,2,0,0
t197,0,2,0.6,2,0,0
t198,0,2,0.6,2,0,0
t199,0,2,0.6,2,0,0
t200,0,2,0.6,2,0,0
t201,0,2,0.6,2,0,0
t202,0,2,0.6,2,0,0
t203,0,2,0.6,2,0,0
t204,0,2,0.6,2,0,0
t205,0,2,0.6,2,0,0
t206,0,2,0.6,2,0,0
t207,0,2,0.6,2,0,0
t208,0,2,0.6,2,0,0
t209,0,2,0.6,2,0,0
t210,0,2,0.6,2,0,0
t211,0,2,0.6,2,0,0
t212,0,2,0.6,2,0,0
t213,0,2,0.6,2,0,0
t214,0,2,0.6,2,0,0
t215,0,2,0.6,2,0,0
t216,0,2,0.6,2,0,0
t217,0,2,0.6,2,0,0
t218,0,2,0.6,2,0,0
t219,0,2,0.6,2,0,0
t220,0,2,0.6,2,0,0
t221,0,2,0.6,2,0,0
t222,0,2,0.6,2,0,0
t223,0,2,0.6,2,0,0
t224,0,2,0.6,2,0,0
t225,0,2,0.6,2,0,0
t226,0,2,0.6,2,0,0
t227,0,2,0.6,2,0,0
t228,0,2,0.6,2,0,0
t229,0,2,0.6,2,0,0
t230,0,2,0.6,2,0,0
t231,0,2,0.6,2,0,0
t232,0,2,0.6,2,0,0
t233,0,2,0.6,2,0,0
t234,0,2,0.6,2,0,0
t235,0,2,0.6,2,0,0
t236,0,2,0.6,2,0,0
t237,0,2,0.6,2,0,0
t238,0,2,0.6,2,0,0
t239,0,2,0.6,2,0,0
t240,0,2,0.6,2,0,0
t241,0,2,0.6,2,0,0
t242,0,2,0.6,2,0,0
t243,0,2,0.6,2,0,0
t244,0,2,0.6,2,0,0
t245,0,2,0.6,2,0,0
t246,0,2,0.6,2,0,0
t247,0,2,0.6,2,0,0
t248,0,2,0.6,2,0,0
t249,0,2,0.6,2,0,0
t250,0,2,0.6,2,0,0
t251,0,2,0.6,2,0,0
t252,0,2,0.6,2,0,0
t253,0,2,0.6,2,0,0
t254,0,2,0.6,2,0,0
t255,0,2,0.6,2,0,0
t256,0,2,0.6,2,0,0
t257,0,2,0.6,2,0,0
t258,0,2,0.6,2,0,0
t259,0,2,0.6,2,0,0
t260,0,2,0.6,2,0,0
