DATA,,,,,,
key,data,,,,,
token_name,Star Atlas (governance token),,,,,
token_symbol,POLIS,,,,,
start_date,01/09/2021,,,,,
start_tokens,360000000,,,,,
emission_schedule,30D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,staking,,,,,
DISTRIBUTION,,,,,,
entity,Private Sale,Presale,Public Token Sale,Listings / Liquidity Pools,Rewards / Emissions,Team
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,investors,public,community,ecosystem,team_advisors
emission,unlock,unlock,unlock,unlock,staking,unlock
t074,22.5000000,1.5000000,2.0000000,4.0000000,30.8333333,30.0000000
t075,22.5000000,1.5000000,2.0000000,4.0000000,31.2500000,30.0000000
t076,22.5000000,1.5000000,2.0000000,4.0000000,31.6666667,30.0000000
t077,22.5000000,1.5000000,2.0000000,4.0000000,32.0833333,30.0000000
t078,22.5000000,1.5000000,2.0000000,4.0000000,32.5000000,30.0000000
t079,22.5000000,1.5000000,2.0000000,4.0000000,32.9166667,30.0000000
t080,22.5000000,1.5000000,2.0000000,4.0000000,33.3333333,30.0000000
t081,22.5000000,1.5000000,2.0000000,4.0000000,33.7500000,30.0000000
t082,22.5000000,1.5000000,2.0000000,4.0000000,34.1666667,30.0000000
t083,22.5000000,1.5000000,2.0000000,4.0000000,34.5833333,30.0000000
t084,22.5000000,1.5000000,2.0000000,4.0000000,35.0000000,30.0000000
t085,22.5000000,1.5000000,2.0000000,4.0000000,35.4166667,30.0000000
t086,22.5000000,1.5000000,2.0000000,4.0000000,35.8333333,30.0000000
t087,22.5000000,1.5000000,2.0000000,4.0000000,36.2500000,30.0000000
t088,22.5000000,1.5000000,2.0000000,4.0000000,36.6666667,30.0000000
t089,22.5000000,1.5000000,2.0000000,4.0000000,37.0833333,30.0000000
t090,22.5000000,1.5000000,2.0000000,4.0000000,37.5000000,30.0000000
t091,22.5000000,1.5000000,2.0000000,4.0000000,37.9166667,30.0000000
t092,22.5000000,1.5000000,2.0000000,4.0000000,38.3333333,30.0000000
t093,22.5000000,1.5000000,2.0000000,4.0000000,38.7500000,30.0000000
t094,22.5000000,1.5000000,2.0000000,4.0000000,39.1666667,30.0000000
t095,22.5000000,1.5000000,2.0000000,4.0000000,39.5833333,30.0000000
t096,22.5000000,1.5000000,2.0000000,4.0000000,40.0000000,30.0000000
