DATA,,,,,,,,,
key,data,,,,,,,,
token_name,Maps.me,,,,,,,,
token_symbol,MAPS,,,,,,,,
start_date,01/12/2021,,,,,,,,
start_tokens,10000000000,,,,,,,,
emission_schedule,1D,,,,,,,,
emission_type,linear_unlock,,,,,,,,
emission_incentive,,,,,,,,,
DISTRIBUTION,,,,,,,,,
entity,Private Sale,IEO and Initial Liquidity,Serum Community Fund,MAPS Community Fund,Liquidity & Token Growth,Ecosystem Partners,Project Builders,Technology & Product,Ecosystem Growth & Marketing
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,investor,public,ecosystem,ecosystem,foundation,ecosystem,team_advisors,team_advisors,ecosystem
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
allocation,5,5,20,20,5,10,15,10,10
t000,0,5,1.5,2,0,0,0,0,1.5
t001,0,5,1.5,2,0,0,0,0,1.5
t002,0,5,1.5,2,0,0,0,0,1.5
t003,0,5,1.5,2,0,0,0,0,1.5
t004,0,5,1.5,2,0,0,0,0,1.5
t005,0,5,1.5,2,0,0,0,0,1.5
t006,0,5,1.5,2,0,0,0,0,1.5
t007,0,5,1.5,2,0,0,0,0,1.5
t008,0,5,1.5,2,0,0,0,0,1.5
t009,0,5,1.5,2,0,0,0,0,1.5
t010,0,5,1.5,2,0,0,0,0,1.5
t011,0,5,1.5,2,0,0,0,0,1.5
t012,0,5,1.5,2,0,0,0,0,1.5
t013,0,5,1.5,2,0,0,0,0,1.5
t014,0,5,1.5,2,0,0,0,0,1.5
t015,0,5,1.5,2,0,0,0,0,1.5
t016,0,5,1.5,2,0,0,0,0,1.5
t017,0,5,1.5,2,0,0,0,0,1.5
t018,0,5,1.5,2,0,0,0,0,1.5
t019,0,5,1.5,2,0,0,0,0,1.5
t020,0,5,1.5,2,0,0,0,0,1.5
t021,0,5,1.5,2,0,0,0,0,1.5
t022,0,5,1.5,2,0,0,0,0,1.5
t023,0,5,1.5,2,0,0,0,0,1.5
t024,0,5,1.5,2,0,0,0,0,1.5
t025,0,5,1.5,2,0,0,0,0,1.5
t026,0,5,1.5,2,0,0,0,0,1.5
t027,0,5,1.5,2,0,0,0,0,1.5
t028,0,5,1.5,2,0,0,0,0,1.5
t029,0,5,1.5,2,0,0,0,0,1.5
t030,0,5,1.5,2,0,0,0,0,1.5
t031,0,5,1.5,2,0,0,0,0,1.5
t032,0,5,1.5,2,0,0,0,0,1.5
t033,0,5,1.5,2,0,0,0,0,1.5
t034,0,5,1.5,2,0,0,0,0,1.5
t035,0,5,1.5,2,0,0,0,0,1.5
t036,0,5,1.5,2,0,0,0,0,1.5
t037,0,5,1.5,2,0,0,0,0,1.5
t038,0,5,1.5,2,0,0,0,0,1.5
t039,0,5,1.5,2,0,0,0,0,1.5
t040,0,5,1.5,2,0,0,0,0,1.5
t041,0,5,1.5,2,0,0,0,0,1.5
t042,0,5,1.5,2,0,0,0,0,1.5
t043,0,5,1.5,2,0,0,0,0,1.5
t044,0,5,1.5,2,0,0,0,0,1.5
t045,0,5,1.5,2,0,0,0,0,1.5
t046,0,5,1.5,2,0,0,0,0,1.5
t047,0,5,1.5,2,0,0,0,0,1.5
t048,0,5,1.5,2,0,0,0,0,1.5
t049,0,5,1.5,2,0,0,0,0,1.5
t050,0,5,1.5,2,0,0,0,0,1.5
t051,0,5,1.5,2,0,0,0,0,1.5
t052,0,5,1.5,2,0,0,0,0,1.5
t053,0,5,1.5,2,0,0,0,0,1.5
t054,0,5,1.5,2,0,0,0,0,1.5
t055,0,5,1.5,2,0,0,0,0,1.5
t056,0,5,1.5,2,0,0,0,0,1.5
t057,0,5,1.5,2,0,0,0,0,1.5
t058,0,5,1.5,2,0,0,0,0,1.5
t059,0,5,1.5,2,0,0,0,0,1.5
t060,0,5,1.5,2,0,0,0,0,1.5
t061,0,5,1.5,2,0,0,0,0,1.5
t062,0,5,1.5,2,0,0,0,0,1.5
t063,0,5,1.5,2,0,0,0,0,1.5
t064,0,5,1.5,2,0,0,0,0,1.5
t065,0,5,1.5,2,0,0,0,0,1.5
t066,0,5,1.5,2,0,0,0,0,1.5
t067,0,5,1.5,2,0,0,0,0,1.5
t068,0,5,1.5,2,0,0,0,0,1.5
t069,0,5,1.5,2,0,0,0,0,1.5
t070,0,5,1.5,2,0,0,0,0,1.5
t071,0,5,1.5,2,0,0,0,0,1.5
t072,0,5,1.5,2,0,0,0,0,1.5
t073,0,5,1.5,2,0,0,0,0,1.5
t074,0,5,1.5,2,0,0,0,0,1.5
t075,0,5,1.5,2,0,0,0,0,1.5
t076,0,5,1.5,2,0,0,0,0,1.5
t077,0,5,1.5,2,0,0,0,0,1.5
t078,0,5,1.5,2,0,0,0,0,1.5
t079,0,5,1.5,2,0,0,0,0,1.5
t080,0,5,1.5,2,0,0,0,0,1.5
t081,0,5,1.5,2,0,0,0,0,1.5
t082,0,5,1.5,2,0,0,0,0,1.5
t083,0,5,1.5,2,0,0,0,0,1.5
t084,0,5,1.5,2,0,0,0,0,1.5
t085,0,5,1.5,2,0,0,0,0,1.5
t086,0,5,1.5,2,0,0,0,0,1.5
t087,0,5,1.5,2,0,0,0,0,1.5
t088,0,5,1.5,2,0,0,0,0,1.5
t089,0,5,1.5,2,0,0,0,0,1.5
t090,0,5,1.5,2,0,0,0,0,1.5
t091,0,5,1.5,2,0,0,0,0,1.5
t092,0,5,1.5,2,0,0,0,0,1.5
t093,0,5,1.5,2,0,0,0,0,1.5
t094,0,5,1.5,2,0,0,0,0,1.5
t095,0,5,1.5,2,0,0,0,0,1.5
t096,0,5,1.5,2,0,0,0,0,1.5
t097,0,5,1.5,2,0,0,0,0,1.5
t098,0,5,1.5,2,0,0,0,0,1.5
t099,0,5,1.5,2,0,0,0,0,1.5
t100,0,5,1.5,2,0,0,0,0,1.5
t101,0,5,1.5,2,0,0,0,0,1.5
t102,0,5,1.5,2,0,0,0,0,1.5
t103,0,5,1.5,2,0,0,0,0,1.5
t104,0,5,1.5,2,0,0,0,0,1.5
t105,0,5,1.5,2,0,0,0,0,1.5
t106,0,5,1.5,2,0,0,0,0,1.5
t107,0,5,1.5,2,0,0,0,0,1.5
t108,0,5,1.5,2,0,0,0,0,1.5
t109,0,5,1.5,2,0,0,0,0,1.5
t110,0,5,1.5,2,0,0,0,0,1.5
t111,0,5,1.5,2,0,0,0,0,1.5
t112,0,5,1.5,2,0,0,0,0,1.5
t113,0,5,1.5,2,0,0,0,0,1.5
t114,0,5,1.5,2,0,0,0,0,1.5
t115,0,5,1.5,2,0,0,0,0,1.5
t116,0,5,1.5,2,0,0,0,0,1.5
t117,0,5,1.5,2,0,0,0,0,1.5
t118,0,5,1.5,2,0,0,0,0,1.5
t119,0,5,1.5,2,0,0,0,0,1.5
t120,0,5,1.5,2,0,0,0,0,1.5
t121,0,5,1.5,2,0,0,0,0,1.5
t122,0,5,1.5,2,0,0,0,0,1.5
t123,0,5,1.5,2,0,0,0,0,1.5
t124,0,5,1.5,2,0,0,0,0,1.5
t125,0,5,1.5,2,0,0,0,0,1.5
t126,0,5,1.5,2,0,0,0,0,1.5
t127,0,5,1.5,2,0,0,0,0,1.5
t128,0,5,1.5,2,0,0,0,0,1.5
t129,0,5,1.5,2,0,0,0,0,1.5
t130,0,5,1.5,2,0,0,0,0,1.5
t131,0,5,1.5,2,0,0,0,0,1.5
t132,0,5,1.5,2,0,0,0,0,1.5
t133,0,5,1.5,2,0,0,0,0,1.5
t134,0,5,1.5,2,0,0,0,0,1.5
