DATA,,,,,,
key,data,,,,,
token_name,Star Atlas (in-game currency),,,,,
token_symbol,ATLAS,,,,,
start_date,01/09/2021,,,,,
start_tokens,36000000000,,,,,
emission_schedule,30D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,staking,,,,,
DISTRIBUTION,,,,,,
entity,Private Sale,Presale,Public Token Sale,Listings / Liquidity Pools,Rewards / Emissions,Team
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,investors,public,community,ecosystem,team_advisors
emission,unlock,unlock,unlock,unlock,staking,unlock
t087,22.500000,1.500000,2.000000,4.000000,58.906250,5.000000
t088,22.500000,1.500000,2.000000,4.000000,59.583333,5.000000
t089,22.500000,1.500000,2.000000,4.000000,60.260417,5.000000
t090,22.500000,1.500000,2.000000,4.000000,60.937500,5.000000
t091,22.500000,1.500000,2.000000,4.000000,61.614583,5.000000
t092,22.500000,1.500000,2.000000,4.000000,62.291667,5.000000
t093,22.500000,1.500000,2.000000,4.000000,62.968750,5.000000
t094,22.500000,1.500000,2.000000,4.000000,63.645833,5.000000
t095,22.500000,1.500000,2.000000,4.000000,64.322917,5.000000
t096,22.500000,1.500000,2.000000,4.000000,65.000000,5.000000
