DATA,,,,,,,,
key,data,,,,,,,
token_name,Oxygen,,,,,,,
token_symbol,OXY,,,,,,,
start_date,01/12/2021,,,,,,,
start_tokens,10000000000,,,,,,,
emission_schedule,1D,,,,,,,
emission_type,linear_unlock,,,,,,,
emission_incentive,,,,,,,,
DISTRIBUTION,,,,,,,,
entity,Community Fund,Team,Serum Ecosystem Incentives,Maps Ecosystem Incentives,Product and Tech Growth,Private Sale,IEO,Partners
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,ecosystem,team_advisors,ecosystem,ecosystem,team_advisors,investors,public,team_advisors
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
allocation,20,10,15,10,25,10,2,8.00
t066,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t067,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t068,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t069,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t070,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t071,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t072,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t073,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t074,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t075,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t076,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t077,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t078,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t079,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t080,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t081,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t082,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t083,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t084,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t085,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t086,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t087,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t088,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t089,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
