DATA,,,,
key,data,,,
token_name,Genopets,,,
token_symbol,GENE,,,
start_date,19/11/2021,,,
start_tokens,100000000,,,
emission_schedule,1D,,,
emission_type,linear_unlock,,,
emission_incentive,,,,
DISTRIBUTION,,,,
entity,private sale,public sale,team & advisors,community treasure and P2E
type,percentage,percentage,percentage,percentage
group,investors,public,team,community
emission,unlock,unlock,unlock,unlock
allocation,32.5,1.5,25,41
t048,0.000000,1.500000,0.000000,3.025192
t049,0.000000,1.500000,0.000000,3.046550
t050,0.000000,1.500000,0.000000,3.067908
t051,0.000000,1.500000,0.000000,3.089266
t052,0.000000,1.500000,0.000000,3.110624
t053,0.000000,1.500000,0.000000,3.131982
t054,0.000000,1.500000,0.000000,3.153341
t055,0.000000,1.500000,0.000000,3.174699
t056,0.000000,1.500000,0.000000,3.196057
t057,0.000000,1.500000,0.000000,3.217415
t058,0.000000,1.500000,0.000000,3.238773
t059,0.000000,1.500000,0.000000,3.260131
t060,0.000000,1.500000,0.000000,3.281490
t061,0.000000,1.500000,0.000000,3.302848
t062,0.000000,1.500000,0.000000,3.324206
t063,0.000000,1.500000,0.000000,3.345564
t064,0.000000,1.500000,0.000000,3.366922
t065,0.000000,1.500000,0.000000,3.388280
t066,0.000000,1.500000,0.000000,3.409639
t067,0.000000,1.500000,0.000000,3.430997
t068,0.000000,1.500000,0.000000,3.452355
t069,0.000000,1.500000,0.000000,3.473713
t070,0.000000,1.500000,0.000000,3.495071
t071,0.000000,1.500000,0.000000,3.516429
t072,0.000000,1.500000,0.000000,3.537788
t073,0.000000,1.500000,0.000000,3.559146
t074,0.000000,1.500000,0.000000,3.580504
t075,0.000000,1.500000,0.000000,3.601862
t076,0.000000,1.500000,0.000000,3.623220
t077,0.000000,1.500000,0.000000,3.644578
t078,0.000000,1.500000,0.000000,3.665936
t079,0.000000,1.500000,0.000000,3.687295
t080,0.000000,1.500000,0.000000,3.708653
t081,0.000000,1.500000,0.000000,3.730011
t082,0.000000,1.500000,0.000000,3.751369
t083,0.000000,1.500000,0.000000,3.772727
t084,0.000000,1.500000,0.000000,3.794085
t085,0.000000,1.500000,0.000000,3.815444
t086,0.000000,1.500000,0.000000,3.836802
t087,0.000000,1.500000,0.000000,3.858160
t088,0.000000,1.500000,0.000000,3.879518
t089,0.000000,1.500000,0.000000,3.900876
t090,0.000000,1.500000,0.000000,3.922234
t091,0.000000,1.500000,0.000000,3.943593
t092,0.000000,1.500000,0.000000,3.964951
t093,0.000000,1.500000,0.000000,3.986309
t094,0.000000,1.500000,0.000000,4.007667
t095,0.000000,1.500000,0.000000,4.029025
t096,0.000000,1.500000,0.000000,4.050383
t097,0.000000,1.500000,0.000000,4.071742
t098,0.000000,1.500000,0.000000,4.093100
t099,0.000000,1.500000,0.000000,4.114458
t100,0.000000,1.500000,0.000000,4.135816
t101,0.000000,1.500000,0.000000,4.157174
t102,0.000000,1.500000,0.000000,4.178532
t103,0.000000,1.500000,0.000000,4.199890
t104,0.000000,1.500000,0.000000,4.221249
t105,0.000000,1.500000,0.000000,4.242607
t106,0.000000,1.500000,0.000000,4.263965
t107,0.000000,1.500000,0.000000,4.285323
t108,0.000000,1.500000,0.000000,4.306681
t109,0.000000,1.500000,0.000000,4.328039
t110,0.000000,1.500000,0.000000,4.349398
t111,0.000000,1.500000,0.000000,4.370756
t112,0.000000,1.500000,0.000000,4.392114
t113,0.000000,1.500000,0.000000,4.413472
t114,0.000000,1.500000,0.000000,4.434830
t115,0.000000,1.500000,0.000000,4.456188
t116,0.000000,1.500000,0.000000,4.477547
t117,0.000000,1.500000,0.000000,4.498905
t118,0.000000,1.500000,0.000000,4.520263
t119,0.000000,1.500000,0.000000,4.541621
t120,0.000000,1.500000,0.000000,4.562979
t121,0.000000,1.500000,0.000000,4.584337
t122,0.000000,1.500000,0.000000,4.605696
t123,0.000000,1.500000,0.000000,4.627054
t124,0.000000,1.500000,0.000000,4.648412
t125,0.000000,1.500000,0.000000,4.669770
t126,0.000000,1.500000,0.000000,4.691128
t127,0.000000,1.500000,0.000000,4.712486
t128,0.000000,1.500000,0.000000,4.733844
t129,0.000000,1.500000,0.000000,4.755203
t130,0.000000,1.500000,0.000000,4.776561
t131,0.000000,1.500000,0.000000,4.797919
t132,0.000000,1.500000,0.000000,4.819277
t133,0.000000,1.500000,0.000000,4.840635
t134,0.000000,1.500000,0.000000,4.861993
t135,0.000000,1.500000,0.000000,4.883352
t136,0.000000,1.500000,0.000000,4.904710
t137,0.000000,1.500000,0.000000,4.926068
t138,0.000000,1.500000,0.000000,4.947426
t139,0.000000,1.500000,0.000000,4.968784
t140,0.000000,1.500000,0.000000,4.990142
t141,0.000000,1.500000,0.000000,5.011501
t142,0.000000,1.500000,0.000000,5.032859
t143,0.000000,1.500000,0.000000,5.054217
t144,0.000000,1.500000,0.000000,5.075575
t145,0.000000,1.500000,0.000000,5.096933
t146,0.000000,1.500000,0.000000,5.118291
t147,0.000000,1.500000,0.000000,5.139650
t148,0.000000,1.500000,0.000000,5.161008
t149,0.000000,1.500000,0.000000,5.182366
t150,0.000000,1.500000,0.000000,5.203724
t151,0.000000,1.500000,0.000000,5.225082
t152,0.000000,1.500000,0.000000,5.246440
t153,0.000000,1.500000,0.000000,5.267798
t154,0.000000,1.500000,0.000000,5.289157
t155,0.000000,1.500000,0.000000,5.310515
t156,0.000000,1.500000,0.000000,5.331873
t157,0.000000,1.500000,0.000000,5.353231
t158,0.000000,1.500000,0.000000,5.374589
t159,0.000000,1.500000,0.000000,5.395947
t160,0.000000,1.500000,0.000000,5.417306
t161,0.000000,1.500000,0.000000,5.438664
t162,0.000000,1.500000,0.000000,5.460022
t163,0.000000,1.500000,0.000000,5.481380
t164,0.000000,1.500000,0.000000,5.502738
t165,0.000000,1.500000,0.000000,5.524096
t166,0.000000,1.500000,0.000000,5.545455
t167,0.000000,1.500000,0.000000,5.566813
t168,0.000000,1.500000,0.000000,5.588171
t169,0.000000,1.500000,0.000000,5.609529
t170,0.000000,1.500000,0.000000,5.630887
t171,0.000000,1.500000,0.000000,5.652245
t172,0.000000,1.500000,0.000000,5.673604
t173,0.000000,1.500000,0.000000,5.694962
t174,0.000000,1.500000,0.000000,5.716320
t175,0.000000,1.500000,0.000000,5.737678
t176,0.000000,1.500000,0.000000,5.759036
t177,0.000000,1.500000,0.000000,5.780394
t178,0.000000,1.500000,0.000000,5.801752
t179,0.000000,1.500000,0.000000,5.823111
t180,0.000000,1.500000,0.000000,5.844469
t181,0.000000,1.500000,0.000000,5.865827
t182,0.000000,1.500000,0.000000,5.887185
t183,0.000000,1.500000,0.000000,5.908543
t184,0.000000,1.500000,0.000000,5.929901
t185,0.000000,1.500000,0.000000,5.951260
t186,0.000000,1.500000,0.000000,5.972618
t187,0.000000,1.500000,0.000000,5.993976
t188,0.000000,1.500000,0.000000,6.015334
t189,0.000000,1.500000,0.000000,6.036692
t190,0.000000,1.500000,0.000000,6.058050
t191,0.000000,1.500000,0.000000,6.079409
t192,0.000000,1.500000,0.000000,6.100767
t193,0.000000,1.500000,0.000000,6.122125
t194,0.000000,1.500000,0.000000,6.143483
t195,0.000000,1.500000,0.000000,6.164841
t196,0.000000,1.500000,0.000000,6.186199
t197,0.000000,1.500000,0.000000,6.207558
t198,0.000000,1.500000,0.000000,6.228916
t199,0.000000,1.500000,0.000000,6.250274
t200,0.000000,1.500000,0.000000,6.271632
t201,0.000000,1.500000,0.000000,6.292990
t202,0.000000,1.500000,0.000000,6.314348
t203,0.000000,1.500000,0.000000,6.335706
t204,0.000000,1.500000,0.000000,6.357065
t205,0.000000,1.500000,0.000000,6.378423
t206,0.000000,1.500000,0.000000,6.399781
t207,0.000000,1.500000,0.000000,6.421139
t208,0.000000,1.500000,0.000000,6.442497
t209,0.000000,1.500000,0.000000,6.463855
t210,0.000000,1.500000,0.000000,6.485214
t211,0.000000,1.500000,0.000000,6.506572
t212,0.000000,1.500000,0.000000,6.527930
t213,0.000000,1.500000,0.000000,6.549288
t214,0.000000,1.500000,0.000000,6.570646
t215,0.000000,1.500000,0.000000,6.592004
t216,0.000000,1.500000,0.000000,6.613363
t217,0.000000,1.500000,0.000000,6.634721
t218,0.000000,1.500000,0.000000,6.656079
t219,0.000000,1.500000,0.000000,6.677437
t220,0.000000,1.500000,0.000000,6.698795
t221,0.000000,1.500000,0.000000,6.720153
t222,0.000000,1.500000,0.000000,6.741512
t223,0.000000,1.500000,0.000000,6.762870
t224,0.000000,1.500000,0.000000,6.784228
t225,0.000000,1.500000,0.000000,6.805586
t226,0.000000,1.500000,0.000000,6.826944
t227,0.000000,1.500000,0.000000,6.848302
t228,0.000000,1.500000,0.000000,6.869660
t229,0.000000,1.500000,0.000000,6.891019
t230,0.000000,1.500000,0.000000,6.912377
t231,0.000000,1.500000,0.000000,6.933735
t232,0.000000,1.500000,0.000000,6.955093
t233,0.000000,1.500000,0.000000,6.976451
t234,0.000000,1.500000,0.000000,6.997809
t235,0.000000,1.500000,0.000000,7.019168
t236,0.000000,1.500000,0.000000,7.040526
t237,0.000000,1.500000,0.000000,7.061884
t238,0.000000,1.500000,0.000000,7.083242
t239,0.000000,1.500000,0.000000,7.104600
t240,0.000000,1.500000,0.000000,7.125958
t241,0.000000,1.500000,0.000000,7.147317
t242,0.000000,1.500000,0.000000,7.168675
t243,0.000000,1.500000,0.000000,7.190033
t244,0.000000,1.500000,0.000000,7.211391
t245,0.000000,1.500000,0.000000,7.232749
t246,0.000000,1.500000,0.000000,7.254107
t247,0.000000,1.500000,0.000000,7.275465
t248,0.000000,1.500000,0.000000,7.296824
t249,0.000000,1.500000,0.000000,7.318182
t250,0.000000,1.500000,0.000000,7.339540
t251,0.000000,1.500000,0.000000,7.360898
t252,0.000000,1.500000,0.000000,7.382256
t253,0.000000,1.500000,0.000000,7.403614
t254,0.000000,1.500000,0.000000,7.424973
t255,0.000000,1.500000,0.000000,7.446331
t256,0.000000,1.500000,0.000000,7.467689
t257,0.000000,1.500000,0.000000,7.489047
t258,0.000000,1.500000,0.000000,7.510405
t259,0.000000,1.500000,0.000000,7.531763
t260,0.000000,1.500000,0.000000,7.553122
t261,0.000000,1.500000,0.000000,7.574480
t262,0.000000,1.500000,0.000000,7.595838
t263,0.000000,1.500000,0.000000,7.617196
t264,0.000000,1.500000,0.000000,7.638554
t265,0.000000,1.500000,0.000000,7.659912
t266,0.000000,1.500000,0.000000,7.681271
t267,0.000000,1.500000,0.000000,7.702629
t268,0.000000,1.500000,0.000000,7.723987
t269,0.000000,1.500000,0.000000,7.745345
t270,0.000000,1.500000,0.000000,7.766703
t271,0.000000,1.500000,0.000000,7.788061
t272,0.000000,1.500000,0.000000,7.809419
t273,0.000000,1.500000,0.000000,7.830778
t274,0.000000,1.500000,0.000000,7.852136
t275,0.000000,1.500000,0.000000,7.873494
t276,0.000000,1.500000,0.000000,7.894852
t277,0.000000,1.500000,0.000000,7.916210
t278,0.000000,1.500000,0.000000,7.937568
t279,0.000000,1.500000,0.000000,7.958927
t280,0.000000,1.500000,0.000000,7.980285
t281,0.000000,1.500000,0.000000,8.001643
t282,0.000000,1.500000,0.000000,8.023001
t283,0.000000,1.500000,0.000000,8.044359
t284,0.000000,1.500000,0.000000,8.065717
t285,0.000000,1.500000,0.000000,8.087076
t286,0.000000,1.500000,0.000000,8.108434
t287,0.000000,1.500000,0.000000,8.129792
t288,0.000000,1.500000,0.000000,8.151150
t289,0.000000,1.500000,0.000000,8.172508
t290,0.000000,1.500000,0.000000,8.193866
t291,0.000000,1.500000,0.000000,8.215225
t292,0.000000,1.500000,0.000000,8.236583
t293,0.000000,1.500000,0.000000,8.257941
t294,0.000000,1.500000,0.000000,8.279299
t295,0.000000,1.500000,0.000000,8.300657
t296,0.000000,1.500000,0.000000,8.322015
t297,0.000000,1.500000,0.000000,8.343373
t298,0.000000,1.500000,0.000000,8.364732
t299,0.000000,1.500000,0.000000,8.386090
t300,0.000000,1.500000,0.000000,8.407448
t301,0.000000,1.500000,0.000000,8.428806
t302,0.000000,1.500000,0.000000,8.450164
t303,0.000000,1.500000,0.000000,8.471522
t304,0.000000,1.500000,0.000000,8.492881
t305,0.000000,1.500000,0.000000,8.514239
t306,0.000000,1.500000,0.000000,8.535597
t307,0.000000,1.500000,0.000000,8.556955
t308,0.000000,1.500000,0.000000,8.578313
t309,0.000000,1.500000,0.000000,8.599671
t310,0.000000,1.500000,0.000000,8.621030
t311,0.000000,1.500000,0.000000,8.642388
t312,0.000000,1.500000,0.000000,8.663746
t313,0.000000,1.500000,0.000000,8.685104
t314,0.000000,1.500000,0.000000,8.706462
t315,0.000000,1.500000,0.000000,8.727820
t316,0.000000,1.500000,0.000000,8.749179
t317,0.000000,1.500000,0.000000,8.770537
t318,0.000000,1.500000,0.000000,8.791895
t319,0.000000,1.500000,0.000000,8.813253
t320,0.000000,1.500000,0.000000,8.834611
t321,0.000000,1.500000,0.000000,8.855969
t322,0.000000,1.500000,0.000000,8.877327
t323,0.000000,1.500000,0.000000,8.898686
t324,0.000000,1.500000,0.000000,8.920044
t325,0.000000,1.500000,0.000000,8.941402
t326,0.000000,1.500000,0.000000,8.962760
t327,0.000000,1.500000,0.000000,8.984118
t328,0.000000,1.500000,0.000000,9.005476
t329,0.000000,1.500000,0.000000,9.026835
t330,0.000000,1.500000,0.000000,9.048193
t331,0.000000,1.500000,0.000000,9.069551
t332,0.000000,1.500000,0.000000,9.090909
t333,0.000000,1.500000,0.000000,9.112267
t334,0.000000,1.500000,0.000000,9.133625
t335,0.000000,1.500000,0.000000,9.154984
t336,0.000000,1.500000,0.000000,9.176342
t337,0.000000,1.500000,0.000000,9.197700
t338,0.000000,1.500000,0.000000,9.219058
t339,0.000000,1.500000,0.000000,9.240416
t340,0.000000,1.500000,0.000000,9.261774
t341,0.000000,1.500000,0.000000,9.283133
t342,0.000000,1.500000,0.000000,9.304491
t343,0.000000,1.500000,0.000000,9.325849
t344,0.000000,1.500000,0.000000,9.347207
t345,0.000000,1.500000,0.000000,9.368565
t346,0.000000,1.500000,0.000000,9.389923
t347,0.000000,1.500000,0.000000,9.411281
t348,0.000000,1.500000,0.000000,9.432640
t349,0.000000,1.500000,0.000000,9.453998
t350,0.000000,1.500000,0.000000,9.475356
t351,0.000000,1.500000,0.000000,9.496714
t352,0.000000,1.500000,0.000000,9.518072
t353,0.000000,1.500000,0.000000,9.539430
t354,0.000000,1.500000,0.000000,9.560789
t355,0.000000,1.500000,0.000000,9.582147
t356,0.000000,1.500000,0.000000,9.603505
t357,0.000000,1.500000,0.000000,9.624863
t358,0.000000,1.500000,0.000000,9.646221
t359,0.000000,1.500000,0.000000,9.667579
t360,0.000000,1.500000,0.000000,9.688938
t361,0.000000,1.500000,0.000000,9.710296
t362,0.000000,1.500000,0.000000,9.731654
t363,0.000000,1.500000,0.000000,9.753012
t364,0.000000,1.500000,0.000000,9.774370
t365,0.000000,1.500000,0.000000,9.795728
t366,0.089041,1.500000,0.022810,9.817087
t367,0.178082,1.500000,0.045620,9.838445
t368,0.267123,1.500000,0.068431,9.859803
t369,0.356164,1.500000,0.091241,9.881161
t370,0.445205,1.500000,0.114051,9.902519
t371,0.534247,1.500000,0.136861,9.923877
t372,0.623288,1.500000,0.159672,9.945235
t373,0.712329,1.500000,0.182482,9.966594
t374,0.801370,1.500000,0.205292,9.987952
t375,0.890411,1.500000,0.228102,10.009310
t376,0.979452,1.500000,0.250912,10.030668
t377,1.068493,1.500000,0.273723,10.052026
t378,1.157534,1.500000,0.296533,10.073384
t379,1.246575,1.500000,0.319343,10.094743
t380,1.335616,1.500000,0.342153,10.116101
t381,1.424658,1.500000,0.364964,10.137459
t382,1.513699,1.500000,0.387774,10.158817
t383,1.602740,1.500000,0.410584,10.180175
t384,1.691781,1.500000,0.433394,10.201533
t385,1.780822,1.500000,0.456204,10.222892
t386,1.869863,1.500000,0.479015,10.244250
t387,1.958904,1.500000,0.501825,10.265608
t388,2.047945,1.500000,0.524635,10.286966
t389,2.136986,1.500000,0.547445,10.308324
t390,2.226027,1.500000,0.570255,10.329682
t391,2.315068,1.500000,0.593066,10.351041
t392,2.404110,1.500000,0.615876,10.372399
t393,2.493151,1.500000,0.638686,10.393757
t394,2.582192,1.500000,0.661496,10.415115
t395,2.671233,1.500000,0.684307,10.436473
t396,2.760274,1.500000,0.707117,10.457831
t397,2.849315,1.500000,0.729927,10.479189
t398,2.938356,1.500000,0.752737,10.500548
t399,3.027397,1.500000,0.775547,10.521906
t400,3.116438,1.500000,0.798358,10.543264
t401,3.205479,1.500000,0.821168,10.564622
t402,3.294521,1.500000,0.843978,10.585980
t403,3.383562,1.500000,0.866788,10.607338
t404,3.472603,1.500000,0.889599,10.628697
t405,3.561644,1.500000,0.912409,10.650055
t406,3.650685,1.500000,0.935219,10.671413
t407,3.739726,1.500000,0.958029,10.692771
t408,3.828767,1.500000,0.980839,10.714129
t409,3.917808,1.500000,1.003650,10.735487
t410,4.006849,1.500000,1.026460,10.756846
t411,4.095890,1.500000,1.049270,10.778204
t412,4.184932,1.500000,1.072080,10.799562
t413,4.273973,1.500000,1.094891,10.820920
t414,4.363014,1.500000,1.117701,10.842278
t415,4.452055,1.500000,1.140511,10.863636
t416,4.541096,1.500000,1.163321,10.884995
t417,4.630137,1.500000,1.186131,10.906353
t418,4.719178,1.500000,1.208942,10.927711
t419,4.808219,1.500000,1.231752,10.949069
t420,4.897260,1.500000,1.254562,10.970427
t421,4.986301,1.500000,1.277372,10.991785
t422,5.075342,1.500000,1.300182,11.013143
t423,5.164384,1.500000,1.322993,11.034502
t424,5.253425,1.500000,1.345803,11.055860
t425,5.342466,1.500000,1.368613,11.077218
t426,5.431507,1.500000,1.391423,11.098576
t427,5.520548,1.500000,1.414234,11.119934
t428,5.609589,1.500000,1.437044,11.141292
t429,5.698630,1.500000,1.459854,11.162651
t430,5.787671,1.500000,1.482664,11.184009
t431,5.876712,1.500000,1.505474,11.205367
t432,5.965753,1.500000,1.528285,11.226725
t433,6.054795,1.500000,1.551095,11.248083
t434,6.143836,1.500000,1.573905,11.269441
t435,6.232877,1.500000,1.596715,11.290800
t436,6.321918,1.500000,1.619526,11.312158
t437,6.410959,1.500000,1.642336,11.333516
t438,6.500000,1.500000,1.665146,11.354874
t439,6.589041,1.500000,1.687956,11.376232
t440,6.678082,1.500000,1.710766,11.397590
t441,6.767123,1.500000,1.733577,11.418949
t442,6.856164,1.500000,1.756387,11.440307
t443,6.945205,1.500000,1.779197,11.461665
t444,7.034247,1.500000,1.802007,11.483023
t445,7.123288,1.500000,1.824818,11.504381
t446,7.212329,1.500000,1.847628,11.525739
t447,7.301370,1.500000,1.870438,11.547097
t448,7.390411,1.500000,1.893248,11.568456
t449,7.479452,1.500000,1.916058,11.589814
t450,7.568493,1.500000,1.938869,11.611172
t451,7.657534,1.500000,1.961679,11.632530
t452,7.746575,1.500000,1.984489,11.653888
t453,7.835616,1.500000,2.007299,11.675246
t454,7.924658,1.500000,2.030109,11.696605
t455,8.013699,1.500000,2.052920,11.717963
t456,8.102740,1.500000,2.075730,11.739321
t457,8.191781,1.500000,2.098540,11.760679
t458,8.280822,1.500000,2.121350,11.782037
t459,8.369863,1.500000,2.144161,11.803395
t460,8.458904,1.500000,2.166971,11.824754
t461,8.547945,1.500000,2.189781,11.846112
t462,8.636986,1.500000,2.212591,11.867470
t463,8.726027,1.500000,2.235401,11.888828
t464,8.815068,1.500000,2.258212,11.910186
t465,8.904110,1.500000,2.281022,11.931544
t466,8.993151,1.500000,2.303832,11.952903
t467,9.082192,1.500000,2.326642,11.974261
t468,9.171233,1.500000,2.349453,11.995619
t469,9.260274,1.500000,2.372263,12.016977
t470,9.349315,1.500000,2.395073,12.038335
t471,9.438356,1.500000,2.417883,12.059693
t472,9.527397,1.500000,2.440693,12.081051
t473,9.616438,1.500000,2.463504,12.102410
t474,9.705479,1.500000,2.486314,12.123768
t475,9.794521,1.500000,2.509124,12.145126
t476,9.883562,1.500000,2.531934,12.166484
t477,9.972603,1.500000,2.554745,12.187842
t478,10.061644,1.500000,2.577555,12.209200
t479,10.150685,1.500000,2.600365,12.230559
t480,10.239726,1.500000,2.623175,12.251917
t481,10.328767,1.500000,2.645985,12.273275
t482,10.417808,1.500000,2.668796,12.294633
t483,10.506849,1.500000,2.691606,12.315991
t484,10.595890,1.500000,2.714416,12.337349
t485,10.684932,1.500000,2.737226,12.358708
t486,10.773973,1.500000,2.760036,12.380066
t487,10.863014,1.500000,2.782847,12.401424
t488,10.952055,1.500000,2.805657,12.422782
t489,11.041096,1.500000,2.828467,12.444140
t490,11.130137,1.500000,2.851277,12.465498
t491,11.219178,1.500000,2.874088,12.486857
t492,11.308219,1.500000,2.896898,12.508215
t493,11.397260,1.500000,2.919708,12.529573
t494,11.486301,1.500000,2.942518,12.550931
t495,11.575342,1.500000,2.965328,12.572289
t496,11.664384,1.500000,2.988139,12.593647
t497,11.753425,1.500000,3.010949,12.615005
t498,11.842466,1.500000,3.033759,12.636364
t499,11.931507,1.500000,3.056569,12.657722
t500,12.020548,1.500000,3.079380,12.679080
t501,12.109589,1.500000,3.102190,12.700438
t502,12.198630,1.500000,3.125000,12.721796
t503,12.287671,1.500000,3.147810,12.743154
t504,12.376712,1.500000,3.170620,12.764513
t505,12.465753,1.500000,3.193431,12.785871
t506,12.554795,1.500000,3.216241,12.807229
t507,12.643836,1.500000,3.239051,12.828587
t508,12.732877,1.500000,3.261861,12.849945
t509,12.821918,1.500000,3.284672,12.871303
t510,12.910959,1.500000,3.307482,12.892662
t511,13.000000,1.500000,3.330292,12.914020
t512,13.089041,1.500000,3.353102,12.935378
t513,13.178082,1.500000,3.375912,12.956736
t514,13.267123,1.500000,3.398723,12.978094
t515,13.356164,1.500000,3.421533,12.999452
t516,13.445205,1.500000,3.444343,13.020811
t517,13.534247,1.500000,3.467153,13.042169
t518,13.623288,1.500000,3.489964,13.063527
t519,13.712329,1.500000,3.512774,13.084885
t520,13.801370,1.500000,3.535584,13.106243
t521,13.890411,1.500000,3.558394,13.127601
t522,13.979452,1.500000,3.581204,13.148959
t523,14.068493,1.500000,3.604015,13.170318
t524,14.157534,1.500000,3.626825,13.191676
t525,14.246575,1.500000,3.649635,13.213034
t526,14.335616,1.500000,3.672445,13.234392
t527,14.424658,1.500000,3.695255,13.255750
t528,14.513699,1.500000,3.718066,13.277108
t529,14.602740,1.500000,3.740876,13.298467
t530,14.691781,1.500000,3.763686,13.319825
t531,14.780822,1.500000,3.786496,13.341183
t532,14.869863,1.500000,3.809307,13.362541
t533,14.958904,1.500000,3.832117,13.383899
t534,15.047945,1.500000,3.854927,13.405257
t535,15.136986,1.500000,3.877737,13.426616
t536,15.226027,1.500000,3.900547,13.447974
t537,15.315068,1.500000,3.923358,13.469332
t538,15.404110,1.500000,3.946168,13.490690
t539,15.493151,1.500000,3.968978,13.512048
t540,15.582192,1.500000,3.991788,13.533406
t541,15.671233,1.500000,4.014599,13.554765
t542,15.760274,1.500000,4.037409,13.576123
t543,15.849315,1.500000,4.060219,13.597481
t544,15.938356,1.500000,4.083029,13.618839
t545,16.027397,1.500000,4.105839,13.640197
t546,16.116438,1.500000,4.128650,13.661555
t547,16.205479,1.500000,4.151460,13.682913
t548,16.294521,1.500000,4.174270,13.704272
t549,16.383562,1.500000,4.197080,13.725630
t550,16.472603,1.500000,4.219891,13.746988
t551,16.561644,1.500000,4.242701,13.768346
t552,16.650685,1.500000,4.265511,13.789704
t553,16.739726,1.500000,4.288321,13.811062
t554,16.828767,1.500000,4.311131,13.832421
t555,16.917808,1.500000,4.333942,13.853779
t556,17.006849,1.500000,4.356752,13.875137
t557,17.095890,1.500000,4.379562,13.896495
t558,17.184932,1.500000,4.402372,13.917853
t559,17.273973,1.500000,4.425182,13.939211
t560,17.363014,1.500000,4.447993,13.960570
t561,17.452055,1.500000,4.470803,13.981928
t562,17.541096,1.500000,4.493613,14.003286
t563,17.630137,1.500000,4.516423,14.024644
t564,17.719178,1.500000,4.539234,14.046002
t565,17.808219,1.500000,4.562044,14.067360
t566,17.897260,1.500000,4.584854,14.088719
t567,17.986301,1.500000,4.607664,14.110077
t568,18.075342,1.500000,4.630474,14.131435
t569,18.164384,1.500000,4.653285,14.152793
t570,18.253425,1.500000,4.676095,14.174151
t571,18.342466,1.500000,4.698905,14.195509
t572,18.431507,1.500000,4.721715,14.216867
t573,18.520548,1.500000,4.744526,14.238226
t574,18.609589,1.500000,4.767336,14.259584
t575,18.698630,1.500000,4.790146,14.280942
t576,18.787671,1.500000,4.812956,14.302300
t577,18.876712,1.500000,4.835766,14.323658
t578,18.965753,1.500000,4.858577,14.345016
t579,19.054795,1.500000,4.881387,14.366375
t580,19.143836,1.500000,4.904197,14.387733
t581,19.232877,1.500000,4.927007,14.409091
t582,19.321918,1.500000,4.949818,14.430449
t583,19.410959,1.500000,4.972628,14.451807
t584,19.500000,1.500000,4.995438,14.473165
t585,19.589041,1.500000,5.018248,14.494524
t586,19.678082,1.500000,5.041058,14.515882
t587,19.767123,1.500000,5.063869,14.537240
t588,19.856164,1.500000,5.086679,14.558598
t589,19.945205,1.500000,5.109489,14.579956
